"","V1","V2","V3"
"Thermophilic",0.253496144782001,0.00151117460714545,0.968990981957939
"Freshwater_habitat",1,43.0316056749056,5.3862656038206e-11
"temp",0.958830477268996,38.9405333757428,4.36913880341266e-10
"Akinetes",1,76.6043536386344,2.08878662954106e-18
"Heterocysts",0.838257036186639,81.8444672107995,1.47228505204733e-19
"Nitrogen_fixation",0.887042133932861,30.5677107141295,3.22415165976581e-08
"Morphology",1,75.4370652484442,3.7724145462421e-18
"Habit",0.763536572633749,43.7855788801269,3.66394864371359e-11
"Freeliving",0.88410670233383,43.2062235015636,4.92637350329219e-11
"Mats",1.00972716487913e-35,9.37916411203332e-13,0.999999227280043
"Epi_Endolithic",0.953885793744348,36.7855767530624,1.31862191938317e-09
"Epiphytic",1,30.1574473650495,3.98354532477286e-08
"Periphytic",2.62342332070672e-96,1.49213974509621e-12,0.999999025358699
"Motility",0.978150021738377,35.4928936300708,2.55982772071622e-09
"Hormogonia",0.966323664069111,48.7343773723456,2.93083867156851e-12
"Gas_vesicles",1,17.3740574210193,3.06987653954696e-05
"False_Branching",0.999999994892925,24.2265204068031,8.56448059887471e-07
"True_Branching",1,17.5444935754442,2.80662378160607e-05
"Fission_in_multiple_planes",0.999999990942404,35.0486685662457,3.21566768743106e-09
"Uniseriate_trichome",1,57.0110294723776,4.33374559461126e-14
"Multiseriate_trichomes",1,70.7317752062205,4.09247625858627e-17
"Baeocytes",0.999999997949914,12.3878522949519,0.000432136014343055
"Extracellular_sheath",0.720924233744947,28.4359448122424,9.68503296318993e-08
"Mucilage",0.884501127181073,38.9569623923554,4.33252346698179e-10
"celldiam_mean",0.801557247813094,36.8374432534789,1.28400405908906e-09
"Pelagic",0.891809771656152,55.2616396816477,1.0550767181852e-13
